Program ID,Broad Field,Field,Institution Name,Program Name,Program Website,Control,Regional Code,Program Size Quartile
20067557,Agricultural Sciences,Animal Sciences,University of Idaho,Animal Physiology,http://www.avs.uidaho.edu,Public,W,2
20014966,Agricultural Sciences,Animal Sciences,University of Hawaii At Manoa,Zoology,http://www.hawaii.edu/zoology/,Public,W,4
20038777,Agricultural Sciences,Animal Sciences,University of Illinois At Urbana-Champaign,Animal Sciences,http://www.ansci.uiuc.edu,Public,MW,4
20028059,Agricultural Sciences,Animal Sciences,University of Kentucky,Animal Sciences,http://www.uky.edu/Ag/AnimalSciences/,Public,SC,3
20049986,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Animal Sciences,http://www.ansc.umd.edu/,Public,SA,3
20050548,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Veterinary Medical Sciences,http://www.gradschool.umd.edu/catalog/programs/VMSC.html,Public,SA,1
20039598,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Animal Sciences,http://www.ansci.umn.edu/gradprogram/index.html,Public,MW,2
20040299,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Veterinary Medicine,http://www.cvm.umn.edu/gradprog/programs/vmgp/,Public,MW,4
20025188,Agricultural Sciences,Animal Sciences,University of Missouri - Columbia,Animal Sciences,http://animalsciences.missouri.edu/,Public,MW,4
20017086,Agricultural Sciences,Animal Sciences,University of Nebraska - Lincoln,Animal Science,http://www.animalscience.unl.edu/,Public,MW,4
20045647,Agricultural Sciences,Animal Sciences,University of Tennessee,Animal Science,http://animalscience.ag.utk.edu/,Public,SC,1
20059439,Agricultural Sciences,Animal Sciences,University of Washington,Aquatic and Fishery Sciences,http://fish.washington.edu,Public,W,4
20030306,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Animal Sciences,http://www.ansci.wisc.edu,Public,MW,3
20030526,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Dairy Science,http://www.wisc.edu/dysci,Public,MW,2
20031127,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Zoology,http://www.wisc.edu/zoology,Public,MW,4
20024752,Agricultural Sciences,Animal Sciences,University of Wyoming,Reproductive Biology,http://www.uwyo.edu/reprobio/,Public,W,N/D
20044363,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,"Animal Sciences, Dairy",http://www.dasc.vt.edu/,Public,SA,2
20044376,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Animal and Poultry Sciences,http://www.apsc.vt.edu/,Public,SA,4
20044541,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Fisheries and Wildlife,http://www.fw.vt.edu/fisheries/,Public,SA,3
20058304,Agricultural Sciences,Animal Sciences,Washington State University,Animal Sciences,http://www.ansci.wsu.edu,Public,W,2
20037862,Agricultural Sciences,Entomology,Auburn University,Entomology,http://www.ag.auburn.edu/enpl/,Public,SC,1
20016841,Agricultural Sciences,Entomology,Clemson University,Entomology,http://bugs.clemson.edu/,Public,SA,2
20015761,Agricultural Sciences,Entomology,Cornell University,Entomology,http://www.entomology.cornell.edu/,Private,NE,4
20016430,Agricultural Sciences,Entomology,Iowa State University,Entomology,http://www.ent.iastate.edu/dept/grad/,Public,MW,1
20028596,Agricultural Sciences,Entomology,Kansas State University,Entomology,http://www.entomology.k-state.edu/DesktopDefault.aspx?tabid=33,Public,MW,4
20058087,Agricultural Sciences,Entomology,Louisiana State University And Agricultural And Mechanical College,Entomology,http://entomology.lsu.edu/,Public,SC,2
20046918,Agricultural Sciences,Entomology,Michigan State University,Entomology,http://www.ent.msu.edu/Default.aspx?tabid=62,Public,MW,2
20024451,Agricultural Sciences,Entomology,Mississippi State University,Entomology and Plant Pathology (degree: PhD in Life Sciences),http://www.entomology.msstate.edu/degrees/,Public,SC,2
20041418,Agricultural Sciences,Entomology,North Carolina State University,Entomology,http://entomology.ncsu.edu/,Public,SA,4
20028965,Agricultural Sciences,Entomology,Ohio State University Main Campus,Entomology,http://www.oardc.ohio-state.edu/entomology/main.asp,Public,MW,2
20041971,Agricultural Sciences,Entomology,Oklahoma State University Main Campus,Entomology,http://www.ento.okstate.edu,Public,SC,2
20018564,Agricultural Sciences,Entomology,Oregon State University,Entomology,http://agsci.oregonstate.edu/entomology/index.htm,Public,W,1
20031392,Agricultural Sciences,Entomology,Penn State University,Entomology,http://www.ento.psu.edu/Grads.html,Public,NE,3
20055844,Agricultural Sciences,Entomology,Purdue University Main Campus,Entomology,http://www.entm.purdue.edu,Public,MW,1
20012531,Agricultural Sciences,Entomology,Rutgers The State University of New Jersey New Brunswick Campus,Entomology,http://www.rci.rutgers.edu/~insects/,Public,NE,1
20013624,Agricultural Sciences,Entomology,University of Arkansas Main Campus,Entomology,http://entomology.uark.edu/,Public,SC,1
20048819,Agricultural Sciences,Entomology,University of California-Riverside,Entomology,http://www.insects.ucr.edu/,Public,W,4
20067159,Agricultural Sciences,Entomology,University of California-Davis,Entomology,http://entomology.ucdavis.edu/grad/,Public,W,4
20013064,Agricultural Sciences,Entomology,University of Florida,Entomology and Nematology,http://entnemdept.ifas.ufl.edu/,Public,SA,4
20019699,Agricultural Sciences,Entomology,University of Georgia,Entomology,http://www.ent.uga.edu/graduate.html,Public,SA,3
20038984,Agricultural Sciences,Entomology,University of Illinois At Urbana-Champaign,Entomology,http://www.life.uiuc.edu/entomology/,Public,MW,3
20028198,Agricultural Sciences,Entomology,University of Kentucky,Entomology,http://www.uky.edu/Ag/Entomology/entdept/eg1.htm,Public,SC,4
20050195,Agricultural Sciences,Entomology,University of Maryland College Park,Entomology,http://www.entm.umd.edu,Public,SA,3
20039857,Agricultural Sciences,Entomology,University of Minnesota-Twin Cities,Entomology,http://www.entomology.umn.edu/,Public,MW,2
20017099,Agricultural Sciences,Entomology,University of Nebraska - Lincoln,Entomology,http://entomology.unl.edu/,Public,MW,2
20030584,Agricultural Sciences,Entomology,University of Wisconsin-Madison,Entomology,http://www.entomology.wisc.edu,Public,MW,2
20044525,Agricultural Sciences,Entomology,Virginia Polytechnic Institute And State University,Entomology,http://web.ento.vt.edu/ento/,Public,SA,3
20058427,Agricultural Sciences,Entomology,Washington State University,Entomology,http://entomology.wsu.edu/,Public,W,1
20016854,Agricultural Sciences,Food Science,Clemson University,Food Technology,http://www.clemson.edu/foodscience,Public,SA,2
20056351,Agricultural Sciences,Food Science,Colorado State University,Food Science & Human Nutrition,http://www.colostate.edu/fshn,Public,W,2
20015787,Agricultural Sciences,Food Science,Cornell University,Food Science and Technology,http://foodscience.cornell.edu/cals/foodsci/academics/graduate/,Private,NE,4
20016456,Agricultural Sciences,Food Science,Iowa State University,Food Science & Technology,http://www.fshn.hs.iastate.edu/grad/homepage.php,Public,MW,2
20028606,Agricultural Sciences,Food Science,Kansas State University,Food Science,http://foodsci.k-state.edu/DesktopDefault.aspx?tabid=708,Public,MW,1
20058090,Agricultural Sciences,Food Science,Louisiana State University And Agricultural And Mechanical College,Food Science,http://www.lsuagcenter.com/foodscience/,Public,SC,2
20046947,Agricultural Sciences,Food Science,Michigan State University,Food Science,http://fshn.msu.edu/programs/foodScienceGrad.html,Public,MW,2
20024464,Agricultural Sciences,Food Science,Mississippi State University,Food Science (degree: PhD in Food Science and Nutrition),http://www.fsnhp.msstate.edu/programs/,Public,SC,1
20041434,Agricultural Sciences,Food Science,North Carolina State University,Food Science,http://www2.ncsu.edu/ncsu/cals/food_science/acdprg/graduate.html,Public,SA,4
20028994,Agricultural Sciences,Food Science,Ohio State University Main Campus,Food Science and Nutrition,http://www-fst.ag.ohio-state.edu/,Public,MW,3
20041997,Agricultural Sciences,Food Science,Oklahoma State University Main Campus,Food Science,http://www.foodsci.okstate.edu,Public,SC,1
20018593,Agricultural Sciences,Food Science,Oregon State University,Food Science and Technology,http://oregonstate.edu/dept/foodsci,Public,W,2
20031402,Agricultural Sciences,Food Science,Penn State University,Food Science,http://www.foodscience.psu.edu/,Public,NE,3
20055857,Agricultural Sciences,Food Science,Purdue University Main Campus,Food Science,http://www.foodsci.purdue.edu/grad,Public,MW,4
20012557,Agricultural Sciences,Food Science,Rutgers The State University of New Jersey New Brunswick Campus,Food Science,http://foodsci.rutgers.edu/,Public,NE,4
20021632,Agricultural Sciences,Food Science,Texas A & M University,Food Science & Technology,http://www.tamufood.org/,Public,SC,3
20013640,Agricultural Sciences,Food Science,University of Arkansas Main Campus,Food Science,http://www.foodscience.uark.edu/,Public,SC,3
20067175,Agricultural Sciences,Food Science,University of California-Davis,Food Science,http://foodscience.ucdavis.edu,Public,W,3
20013103,Agricultural Sciences,Food Science,University of Florida,Food Science and Human Nutrition: Food Science,http://fshn.ifas.ufl.edu,Public,SA,3
20019712,Agricultural Sciences,Food Science,University of Georgia,Food Science,http://www.caes.uga.edu/departments/fst/,Public,SA,4
20039006,Agricultural Sciences,Food Science,University of Illinois At Urbana-Champaign,Food Science and Human Nutrition,http://www.fshn.uiuc.edu,Public,MW,3
20050218,Agricultural Sciences,Food Science,University of Maryland College Park,Food Science,http://www.nfsc.umd.edu/,Public,SA,1
20047946,Agricultural Sciences,Food Science,University of Massachusetts Amherst,Food Science,http://umass.edu/foodsci,Public,NE,3
20039909,Agricultural Sciences,Food Science,University of Minnesota-Twin Cities,Food Science,http://fscn.che.umn.edu/grad_students/fs_grad_students.html,Public,MW,3
20025379,Agricultural Sciences,Food Science,University of Missouri - Columbia,Food Science,http://foodscience.missouri.edu/graduate/,Public,MW,1
20017109,Agricultural Sciences,Food Science,University of Nebraska - Lincoln,Food Science & Technology,http://foodsci.unl.edu,Public,MW,2
20045812,Agricultural Sciences,Food Science,University of Tennessee,Food Science and Technology,http://foodscience.tennessee.edu/,Public,SC,1
20027474,Agricultural Sciences,Food Science,University of Vermont,"Animal, Nutrition, and Food Sciences",http://asci@uvm.edu,Public,NE,1
20030607,Agricultural Sciences,Food Science,University of Wisconsin-Madison,Food Science,http://foodsci.wisc.edu/,Public,MW,4
20044554,Agricultural Sciences,Food Science,Virginia Polytechnic Institute And State University,Food Science and Technology,http://www.fst.vt.edu/,Public,SA,2
20058443,Agricultural Sciences,Food Science,Washington State University,Food Science,http://fshn.wsu.edu/graduatestudies/phd_food_science.htm,Public,W,1
20037891,Agricultural Sciences,Forestry and Forest Sciences,Auburn University,Forestry,http://www.sfws.auburn.edu/,Public,SC,2
20016867,Agricultural Sciences,Forestry and Forest Sciences,Clemson University,Forest Resources,http://www.clemson.edu/for/,Public,SA,1
20056364,Agricultural Sciences,Forestry and Forest Sciences,Colorado State University,"Forest, Rangeland, and Watershed Stewardship",http://www.warnercnr.colostate.edu/frws/,Public,W,4
20016469,Agricultural Sciences,Forestry and Forest Sciences,Iowa State University,Forestry,http://www.nrem.iastate.edu,Public,MW,1
20058100,Agricultural Sciences,Forestry and Forest Sciences,Louisiana State University And Agricultural And Mechanical College,Forestry,http://www.rnr.lsu.edu,Public,SC,2
20046950,Agricultural Sciences,Forestry and Forest Sciences,Michigan State University,Forestry,http://www.for.msu.edu,Public,MW,3
20022343,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Science,http://forest.mtu.edu/gradstudies/index.htm,Public,MW,3
20022356,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Molecular Genetics and Biotechnology,http://forest.mtu.edu/gradstudies/index.htm,Public,MW,1
20024477,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forest Products (degree: PhD in Forest Resources),http://www.cfr.msstate.edu,Public,SC,1
20024480,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forestry (degree: PhD in Forest Resources),http://www.cfr.msstate.edu/forestry/index.htm,Public,SC,1
20041447,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Forestry,http://www.cnr.ncsu.edu/fer/grads/gradfor.html,Public,SA,4
20041683,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Wood and Paper Science,http://www.cnr.ncsu.edu/wps/,Public,SA,2
20018603,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Engineering,http://www.forestry.oregonstate.edu/cof/fe/grad.php,Public,W,2
20018616,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Science,http://www.cof.orst.edu/cof/fs,Public,W,3
20018629,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Resources,http://www.forestry.oregonstate.edu/cof/fr/,Public,W,2
20018742,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Wood Science,http://woodscience.oregonstate.edu,Public,W,1
20031415,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Forest Resources,http://www.sfr.cas.psu.edu/,Public,NE,1
20031800,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Wildlife and Fisheries Science,http://www.sfr.cas.psu.edu/,Public,NE,1
20055886,Agricultural Sciences,Forestry and Forest Sciences,Purdue University Main Campus,Forestry & Natural Resources,http://www.agriculture.purdue.edu//fnr/,Public,MW,4
20021742,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Forestry,http://forestry.tamu.edu/,Public,SC,1
20021784,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Rangeland Ecology and Management,http://rangeland.tamu.edu/,Public,SC,2
20013145,Agricultural Sciences,Forestry and Forest Sciences,University of Florida,Forest Resources and Conservation,http://www.sfrc.ufl.edu,Public,SA,4
20019738,Agricultural Sciences,Forestry and Forest Sciences,University of Georgia,Forest Resources,http://www.warnell.uga.edu,Public,SA,4
20071420,Agricultural Sciences,Forestry and Forest Sciences,University of Idaho,Forest Resources,http://www.cnrhome.uidaho.edu,Public,W,3
20047959,Agricultural Sciences,Forestry and Forest Sciences,University of Massachusetts Amherst,Forest Resources,http://nrc.umass.edu/index.php/degree-programs/graduate-programs/forest-resources/,Public,NE,1
20040121,Agricultural Sciences,Forestry and Forest Sciences,University of Minnesota-Twin Cities,Natural Resource Science and Management,http://www.nrsm.umn.edu/,Public,MW,4
20025382,Agricultural Sciences,Forestry and Forest Sciences,University of Missouri - Columbia,Forestry,http://www.snr.missouri.edu/forestry/,Public,MW,2
20045922,Agricultural Sciences,Forestry and Forest Sciences,University of Tennessee,Natural Resources,http://fwf.ag.utk.edu/Academics/phd.htm,Public,SC,3
20059659,Agricultural Sciences,Forestry and Forest Sciences,University of Washington,Forest Resources,http://www.sfr.washington.edu/academicPrograms/graduate/current.shtml,Public,W,4
20063124,Agricultural Sciences,Forestry and Forest Sciences,University of Montana - Missoula,Forestry,http://www.cfc.umt.edu,Public,W,N/D
20030610,Agricultural Sciences,Forestry and Forest Sciences,University of Wisconsin-Madison,Forestry,http://forest.wisc.edu,Public,MW,3
20044567,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forest Products,http://www.woodscience.vt.edu/,Public,SA,1
20044570,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forestry,http://www.fw.vt.edu/forestry/,Public,SA,3
20063496,Agricultural Sciences,Forestry and Forest Sciences,Yale University,Forestry & Environmental Studies,http://environment.yale.edu/,Private,NE,4
20019246,Agricultural Sciences,Nutrition,Case Western Reserve University,Nutrition,http://www.case.edu/med/nutrition/home.html,Private,MW,2
20037998,Agricultural Sciences,Nutrition,Auburn University,Nutrition & Food Science,http://www.humsci.auburn.edu/nufs/nufs-dr.php,Public,SC,3
20057790,Agricultural Sciences,Nutrition,Columbia University In The City of New York,Nutrition,http://cpmcnet.columbia.edu/dept/ihn/,Private,NE,3
20015994,Agricultural Sciences,Nutrition,Cornell University,Nutrition,http://www.nutrition.cornell.edu/che/DNS/academic/graduate.cfm,Private,NE,4
20062099,Agricultural Sciences,Nutrition,Emory University,Nutrition and Health Sciences (NHS),http://www.biomed.emory.edu/programs/program_nhs.cfm,Private,SA,4
20034603,Agricultural Sciences,Nutrition,Florida International University,Dietetics and Nutrition,http://chua2.fiu.edu/dietetics-nutrition/PhDProgram.htm,Public,SA,3
20026051,Agricultural Sciences,Nutrition,Howard University,Nutritional Science,http://www.howard.edu,Private,SA,1
20016634,Agricultural Sciences,Nutrition,Iowa State University,Nutrition,http://www.fshn.hs.iastate.edu/grad/homepage.php,Public,MW,2
20056775,Agricultural Sciences,Nutrition,Johns Hopkins University,Human Nutrition,http://www.jhsph.edu/dept/ih/globalhealthdegrees/phd/index.html,Private,SA,1
20028677,Agricultural Sciences,Nutrition,Kansas State University,Nutrition,http://www.humanec.k-state.edu/hn,Public,MW,2
20047027,Agricultural Sciences,Nutrition,Michigan State University,Human Nutrition,http://fshn.msu.edu/programs/humanNutritionGrad.html,Public,MW,2
20041560,Agricultural Sciences,Nutrition,North Carolina State University,Nutrition,http://www.cals.ncsu.edu/food_science/acdprg/,Public,SA,1
20029236,Agricultural Sciences,Nutrition,Ohio State University Main Campus,"Nutrition Program, The Ohio State University",http://ehe.osu.edu/osun/,Public,MW,4
20024558,Agricultural Sciences,Nutrition,Mississippi State University,Nutrition (degree: PhD in Food Science and Nutrition),http://www.fsnhp.msstate.edu/programs/,Public,SC,1
20018674,Agricultural Sciences,Nutrition,Oregon State University,Nutrition and Food Management,http://www.hhs.oregonstate.edu/nes,Public,W,1
20031622,Agricultural Sciences,Nutrition,Penn State University,Nutritional Sciences,http://nutrition.hhdev.psu.edu/grad/GradNutrition.html,Public,NE,4
20055860,Agricultural Sciences,Nutrition,Purdue University Main Campus,Foods and Nutrition,http://www.cfs.purdue.edu/fn,Public,MW,4
20012670,Agricultural Sciences,Nutrition,Rutgers The State University of New Jersey New Brunswick Campus,Nutritional Sciences,http://nutrition.rutgers.edu/graduate.html,Public,NE,3
20021687,Agricultural Sciences,Nutrition,Texas A & M University,Nutrition,http://nutr.tamu.edu,Public,SC,2
20048644,Agricultural Sciences,Nutrition,University of Alabama At Birmingham,Nutrition Sciences,http://www.uab.edu/nutrition,Public,SC,1
20029744,Agricultural Sciences,Nutrition,Tufts University,Nutrition,http://nutrition.tufts.edu,Private,NE,4
20034182,Agricultural Sciences,Nutrition,University of Arizona,Nutritional Science,http://cals.arizona.edu/nutrition/,Public,W,3
20061090,Agricultural Sciences,Nutrition,University of California-Berkeley,Molecular and Biochemical Nutrition,http://mbn.berkeley.edu,Public,W,3
20067337,Agricultural Sciences,Nutrition,University of California-Davis,Nutritional Biology (Nutrition),http://nutritionalbiology.ucdavis.edu/,Public,W,4
20024192,Agricultural Sciences,Nutrition,University of Connecticut,Nutritional Science PhD,http://www.canr.uconn.edu/nutsci/nutsci/gradprog.html,Public,NE,3
20013132,Agricultural Sciences,Nutrition,University of Florida,Food Science and Human Nutrition: Nutritional Sciences,http://fshn.ifas.ufl.edu,Public,SA,1
20019725,Agricultural Sciences,Nutrition,University of Georgia,Foods & Nutrition,http://www.fcs.uga.edu/fdn/grad/index.html,Public,SA,1
20042909,Agricultural Sciences,Nutrition,University of Illinois At Chicago,Human Nutrition,http://www.ahs.uic.edu/kn/,Public,MW,1
20039226,Agricultural Sciences,Nutrition,University of Illinois At Urbana-Champaign,Nutritional Science,http://www.nutrsci.uiuc.edu,Public,MW,3
20028318,Agricultural Sciences,Nutrition,University of Kentucky,Nutritional Sciences,http://www.mc.uky.edu/Nutrisci/,Public,SC,3
20040150,Agricultural Sciences,Nutrition,University of Minnesota-Twin Cities,Nutrition,http://fscn.cfans.umn.edu/grad_students/nutr_grad_students.html,Public,MW,3
20050438,Agricultural Sciences,Nutrition,University of Maryland College Park,Nutrition,http://www.nfsc.umd.edu/,Public,SA,2
20017112,Agricultural Sciences,Nutrition,University of Nebraska - Lincoln,Nutrition,http://engineering.unl.edu/academicunits/imse/,Public,MW,2
20045456,Agricultural Sciences,Nutrition,University of North Carolina At Chapel Hill,Nutrition,http://www.sph.unc.edu/nutr,Public,SA,4
20070722,Agricultural Sciences,Nutrition,University of North Carolina At Greensboro,Nutrition,http://www.uncg.edu/nutrition,Public,SA,1
20065083,Agricultural Sciences,Nutrition,University of Rhode Island,Nutrition & Food Sciences,http://www.uri.edu/cels/fsn,Public,NE,1
20032838,Agricultural Sciences,Nutrition,University of Southern Mississippi,Nutrition & Food Systems,http://www.usm.edu/nfs/,Public,SC,1
20045951,Agricultural Sciences,Nutrition,University of Tennessee,Nutrition,http://nutrition.he.utk.edu/,Public,SC,1
20061744,Agricultural Sciences,Nutrition,University of Texas At Austin,Nutritional Sciences,http://www.he.utexas.edu/ntr/index.php,Public,SC,3
20059866,Agricultural Sciences,Nutrition,University of Washington,Nutritional Sciences,http://depts.washington.edu/nutr,Public,W,2
20030940,Agricultural Sciences,Nutrition,University of Wisconsin-Madison,Nutritional Sciences,http://www.nutrisci.wisc.edu,Public,MW,4
20062727,Agricultural Sciences,Nutrition,Utah State University,Nutrition and Food Sciences (AG),http://ndfs.usu.edu/,Public,W,N/D
20044622,Agricultural Sciences,Nutrition,Virginia Polytechnic Institute And State University,"Human Nutrition, Foods and Exercise",http://www.hnfe.vt.edu/,Public,SA,3
20058472,Agricultural Sciences,Nutrition,Washington State University,Graduate Program in Nutrition,http://fshn.wsu.edu/graduatestudies/phd_nutrition.htm,Public,W,1
20021399,Agricultural Sciences,Nutrition,Wayne State University,Nutrition and Food Science,http://www.clas.wayne.edu/nfs,Public,MW,2
20037752,Agricultural Sciences,Plant Sciences,Auburn University,Agronomy and Soils,http://www.ag.auburn.edu/agrn/doctoral.htm,Public,SC,1
20037914,Agricultural Sciences,Plant Sciences,Auburn University,Horticulture,http://www.ag.auburn.edu/hort/,Public,SC,1
20038023,Agricultural Sciences,Plant Sciences,Auburn University,Plant Pathology,http://www.ag.auburn.edu/enpl/,Public,SC,1
20017963,Agricultural Sciences,Plant Sciences,Claremont Graduate University,Botany,http://www.cgu.edu/botany,Private,W,1
20016870,Agricultural Sciences,Plant Sciences,Clemson University,Plant and Environmental Sciences,http://www.clemson.edu/plantenvgrad/,Public,SA,3
20056377,Agricultural Sciences,Plant Sciences,Colorado State University,Horticulture,http://hla.agsci.colostate.edu/grad/gradprog.htm,Public,W,1
20015855,Agricultural Sciences,Plant Sciences,Cornell University,Horticulture,http://www.hort.cornell.edu/,Private,NE,4
20016058,Agricultural Sciences,Plant Sciences,Cornell University,Plant Biology,http://www.plantbio.cornell.edu/grad.html,Private,NE,4
